Paracetamol,2024-05-31,2022-06-15,5.99,Astrazenica,Medicine
Eye Liner,2023-12-31,2022-07-01,4.49,LoReal,Cosmetic
Eggs,2023-06-18,2023-06-01,2.99,Sun Foods,Eatable
Ibuprofen,2023-11-30,2022-08-22,6.99,Pfizer,Medicine
Lipstick,2023-10-31,2022-09-05,7.99,M.A.C,Cosmetic
Bread,2023-06-10,2023-06-01,3.49,Wonder,Eatable
Amoxicillin,2024-03-31,2022-10-10,8.99,Astrazenica,Medicine
Mascara,2024-02-28,2022-11-15,9.99,Lancome,Cosmetic
Ibuprofen,2024-08-31,2022-12-15,6.49,Pfizer,Medicine
Shampoo,2024-01-31,2023-01-15,8.99,Head & Shoulders,Cosmetic
Orange Juice,2023-06-05,2023-05-30,1.99,Tropicana,Eatable
Aspirin,2023-11-30,2023-01-22,3.99,Bayer,Medicine
Lip Balm,2023-10-31,2023-02-22,2.99,Burts Bees,Cosmetic
Croissant,2023-06-15,2023-06-05,1.99,Bakery Delights,Eatable
Amoxicillin,2024-03-31,2023-02-10,7.99,Novartis,Medicine
Blush,2024-02-28,2023-03-15,10.99,Maybelline,Cosmetic
Paracetamol,2024-05-31,2023-03-15,5.99,GSK,Medicine
Eye Shadow,2023-12-31,2023-04-01,6.49,NYX,Cosmetic
Apple,2023-06-18,2023-06-01,0.99,Green Grocers,Eatable
Ibuprofen,2023-11-30,2023-05-22,4.99,Johnson & Johnson,Medicine
Lip Gloss,2023-10-31,2023-06-05,8.99,Revlon,Cosmetic
Baguette,2023-06-10,2023-06-01,2.99,Artisan Bakery,Eatable
Cough Syrup,2024-03-31,2023-07-10,9.99,Robitussin,Medicine
Foundation,2024-02-28,2023-08-15,11.99,Covergirl,Cosmetic
Vitamin C,2024-08-31,2023-09-15,7.49,Nature's Way,Medicine
Milk,2024-01-31,2023-10-15,3.99,Nestle,Eatable
Toothpaste,2023-06-05,2023-05-30,2.49,Colgate,Cosmetic
Cheese,2023-11-30,2023-11-22,4.99,Kraft,Eatable
